,VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
3537,2306060009,e_e001142,8,오션 솔레 뷰 호텔,2023-06-06,2023-06-06,인천 중구 영종진광장로 32,인천 중구 중산동 1947-1,126.5793268,37.4945557,,,POI01000000D8MSFA,(주)지티인터내셔널오션솔레뷰호텔,30.0,24,Y,4.0,1.0,4.0,3.0,3.0,
3540,2306060012,e_e001142,11,오션 솔레 뷰 호텔,2023-06-06,2023-06-06,인천 중구 영종진광장로 32,인천 중구 중산동 1947-1,126.5793268,37.4945557,,,POI01000000D8MSFA,(주)지티인터내셔널오션솔레뷰호텔,30.0,24,Y,4.0,1.0,3.0,3.0,3.0,
3548,2306070006,e_e001142,20,브라운 도트 인천 송도점,2023-06-07,2023-06-07,인천 연수구 능허대로 227-7,인천 연수구 옥련동 553-7,126.6514665,37.4161802,,,POI01000TR025834V,브라운도트 인천송도점,30.0,24,N,8.0,1.0,1.0,1.0,1.0,
3553,2306070011,e_e001142,25,브라운 도트 인천 송도점,2023-06-07,2023-06-08,인천 연수구 능허대로 227-7,인천 연수구 옥련동 553-7,126.6514665,37.4161802,,,POI01000TR025834V,브라운도트 인천송도점,90.0,24,N,8.0,1.0,1.0,1.0,1.0,
3569,2305270004,e_e001149,5,호텔 베르누이 서울,2023-05-27,2023-05-28,서울 구로구 경인로 229,서울 구로구 오류동 31-277,126.8459716,37.4974351,,,POI010000006I0QIS,CU 베르누이호텔점,1440.0,24,N,6.0,1.0,5.0,5.0,5.0,
3571,2305280001,e_e001149,14,호텔 베르누이 서울,2023-05-28,2023-05-29,서울 구로구 경인로 229,서울 구로구 오류동 31-277,126.8459716,37.4974351,,,POI010000006I0QIS,CU 베르누이호텔점,1320.0,24,N,6.0,1.0,5.0,5.0,5.0,
3578,2305280008,e_e001149,12,호텔 베르누이 서울,2023-05-28,2023-05-28,서울 구로구 경인로 229,서울 구로구 오류동 31-277,126.8459716,37.4974351,,,POI010000006I0QIS,CU 베르누이호텔점,60.0,24,N,11.0,1.0,5.0,5.0,5.0,
3606,2305260004,e_e001164,4,더 리센츠 호텔,2023-05-26,2023-05-26,서울 동대문구 천호대로 383,서울 동대문구 장안동 415-15,127.0616534,37.5622744,,,POI01000000DRJZ8Q,더리센츠호텔,30.0,24,N,5.0,1.0,4.0,4.0,3.0,
3609,2305260007,e_e001164,7,더 리센츠 호텔,2023-05-26,2023-05-27,서울 동대문구 천호대로 383,서울 동대문구 장안동 415-15,127.0616534,37.5622744,,,POI01000000DRJZ8Q,더리센츠호텔,1350.0,24,N,5.0,1.0,4.0,4.0,3.0,
3614,2305270005,e_e001164,12,더 리센츠 호텔,2023-05-27,2023-05-28,서울 동대문구 천호대로 383,서울 동대문구 장안동 415-15,127.0616534,37.5622744,,,POI01000000DRJZ8Q,더리센츠호텔,90.0,24,N,5.0,1.0,4.0,4.0,3.0,
3628,2306060004,e_e001166,5,이비스앰배서더,2023-06-06,2023-06-06,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,126.9617639,37.5320756,,,POI01000TR003444V,이비스 스타일 앰배서더 서울 용산,60.0,24,N,1.0,1.0,5.0,5.0,5.0,
3633,2306060009,e_e001166,9,이비스앰배서더,2023-06-06,2023-06-07,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,126.9617639,37.5320756,,,POI01000TR003444V,이비스 스타일 앰배서더 서울 용산,270.0,24,Y,1.0,1.0,5.0,5.0,5.0,
3641,2306070008,e_e001166,17,이비스앰배서더,2023-06-07,2023-06-08,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,126.9617639,37.5320756,,,POI01000TR003444V,이비스 스타일 앰배서더 서울 용산,60.0,24,Y,1.0,1.0,5.0,5.0,5.0,
3644,2306080003,e_e001166,20,이비스앰배서더,2023-06-08,2023-06-08,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,126.9617639,37.5320756,,,POI01000TR003444V,이비스 스타일 앰배서더 서울 용산,30.0,24,Y,6.0,1.0,5.0,5.0,5.0,
3666,2306040002,e_e001173,2,산으로 간 니모,2023-06-04,2023-06-04,경기 가평군 조종면 연인산로 670-321,경기 가평군 조종면 마일리 71,127.3972581,37.8546145,,,POI02001TR014239V,산으로간니모,0.0,24,N,2.0,5.0,5.0,4.0,5.0,
3668,2306040004,e_e001173,4,산으로 간 니모,2023-06-04,2023-06-05,경기 가평군 조종면 연인산로 670-321,경기 가평군 조종면 마일리 71,127.3972581,37.8546145,,,POI02001TR014239V,산으로간니모,780.0,24,Y,2.0,5.0,5.0,4.0,4.0,
3671,2306050003,e_e001173,7,산으로 간 니모,2023-06-05,2023-06-06,경기 가평군 조종면 연인산로 670-321,경기 가평군 조종면 마일리 71,127.3972581,37.8546145,,,POI02001TR014239V,산으로간니모,600.0,24,Y,2.0,5.0,5.0,4.0,5.0,
3673,2306060002,e_e001173,9,산으로 간 니모,2023-06-06,2023-06-06,경기 가평군 조종면 연인산로 670-321,경기 가평군 조종면 마일리 71,127.3972581,37.8546145,,,POI02001TR014239V,산으로간니모,240.0,24,Y,2.0,5.0,5.0,4.0,5.0,
3679,2305270002,e_e001174,9,골드리버 호텔,2023-05-27,2023-05-28,서울 금천구 서부샛길 584,서울특별시 금천구 가산동 547-63대,126.8769546,37.4783308,,,POI01000000BJUCWS,골드리버관광호텔입구,180.0,24,N,8.0,1.0,4.0,4.0,4.0,1154510100.0
3687,2305280001,e_e001174,15,골드리버 호텔,2023-05-28,2023-05-29,서울 금천구 서부샛길 584,서울 금천구 가산동 547-63,126.8769805,37.4783323,,,POI01000000BJUCWS,골드리버관광호텔입구,120.0,24,Y,8.0,1.0,4.0,4.0,4.0,
3710,2306020002,e_e001180,4,클럽 아일랜드 글램핑 카라반,2023-06-02,2023-06-03,지동길 199-10,,,,,,,,1380.0,24,N,8.0,5.0,3.0,3.0,3.0,4165034000.0
3774,2306040003,e_e001201,3,북촌 한옥마을,2023-06-04,2023-06-05,서울 종로구 북촌로 53,서울 종로구 가회동 30-2,126.9848125,37.5817682,,,POI01000TR027795V,"북촌로,북촌한옥마을",600.0,24,N,1.0,6.0,5.0,5.0,5.0,
3781,2306040004,e_e001207,4,토요코인 호텔 서울 강남점,2023-06-04,2023-06-05,서울 서초구 강남대로 323,서울 서초구 서초동 1337-27,127.0299655,37.491877,,,POI01000000DITG77,토요코인서울강남,300.0,24,N,8.0,1.0,4.0,4.0,4.0,
3792,2305290002,e_e001212,4,테이크 호텔,2023-05-29,2023-05-30,경기 광명시 신기로 22,경기 광명시 일직동 512-3,126.8832251,37.4191384,,,POI01000TR024948V,테이크호텔,540.0,24,N,2.0,1.0,5.0,5.0,5.0,
3795,2305300001,e_e001212,10,테이크 호텔,2023-05-30,2023-05-31,경기 광명시 신기로 22,경기 광명시 일직동 512-3,126.8832251,37.4191384,,,POI01000TR024948V,테이크호텔,300.0,24,N,7.0,1.0,5.0,5.0,5.0,
3826,2305280003,e_e001230,3,유명산 숲속 힐링캠프,2023-05-28,2023-05-29,경기 가평군 설악면 어비산길 201-62,경기 가평군 설악면 가일리 39-11,127.5131838,37.5908969,,,POI02001TR023435V,유명산숲속힐링캠프,480.0,24,N,8.0,5.0,3.0,2.0,2.0,
3836,2306030008,e_e001233,9,호텔 월미 여관,2023-06-03,2023-06-04,인천 중구 월미로 247-21,,,,,,,,180.0,24,N,2.0,1.0,4.0,5.0,5.0,2811013800.0
3870,2305260003,e_e001243,7,쉐라톤 그랜드 인천 호텔,2023-05-26,2023-05-27,인천 연수구 컨벤시아대로 153,인천 연수구 송도동 6-9,126.6452838,37.3903549,,,POI01000TR014442V,쉐라톤그랜드 인천호텔,180.0,24,N,5.0,1.0,5.0,5.0,5.0,
3877,2305270003,e_e001243,10,쉐라톤 그랜드 인천 호텔,2023-05-27,2023-05-28,인천 연수구 컨벤시아대로 153,인천 연수구 송도동 6-9,126.6452838,37.3903549,,,POI01000TR014442V,쉐라톤그랜드 인천호텔,360.0,24,Y,5.0,1.0,5.0,5.0,5.0,
3893,2305280006,e_e001246,6,월 호텔,2023-05-28,2023-05-28,서울 강동구 성안로 121,서울 강동구 성내동 199-7,127.1335067,37.5342156,,,POI01000000BS5G1L,월호텔,240.0,24,N,6.0,2.0,5.0,5.0,5.0,
3929,2305280005,e_e001251,5,더 플라자,2023-05-28,2023-05-28,서울 중구 소공로 119,서울 중구 태평로2가 23,126.9781107,37.5646923,,,POI01000TR042819V,더플라자,120.0,24,Y,2.0,1.0,5.0,5.0,5.0,
3932,2305280008,e_e001251,8,더 플라자,2023-05-28,2023-05-29,서울 중구 소공로 119,서울 중구 태평로2가 23,126.9781107,37.5646923,,,POI01000TR042819V,더플라자,180.0,24,Y,2.0,1.0,5.0,5.0,5.0,
3938,2305290006,e_e001251,13,더 플라자,2023-05-29,2023-05-29,서울 중구 소공로 119,서울 중구 태평로2가 23,126.9781107,37.5646923,,,POI01000TR042819V,더플라자,60.0,24,Y,2.0,1.0,5.0,5.0,5.0,
3991,2306050002,e_e001265,3,아비엥또,2023-06-05,2023-06-06,경기 가평군 청평면 호명리길 58-3,,,,,,,,510.0,24,N,8.0,3.0,5.0,5.0,5.0,4136025600.0
3992,2306050003,e_e001265,2,아비엥또,2023-06-05,2023-06-05,경기 가평군 청평면 호명리길 58-3,경기 가평군 청평면 호명리 176-1,127.4621592,37.7209886,,,POI01000000DBWODH,아비엥또,870.0,24,N,8.0,3.0,4.0,5.0,4.0,
4066,2305280003,e_e001281,9,하늘향기 캠프 카라반,2023-05-28,2023-05-29,경기 포천시 일동면 사기막길 214,경기 포천시 일동면 화대리 194,127.3515536,37.9600788,,,POI02000TR000019V,하늘향기캠프카라반,480.0,24,N,2.0,5.0,5.0,5.0,5.0,
4093,2306010002,e_e001301,7,넘버 25호텔 신촌점,2023-06-01,2023-06-02,서울 마포구 서강로20길 12,서울 마포구 노고산동 106-10,126.9362621,37.5538868,,,POI01000000CV0X66,넘버25,120.0,24,N,8.0,2.0,4.0,4.0,4.0,
4159,2306020002,e_e001329,3,그랜드 하얏트 서울,2023-06-02,2023-06-03,서울 용산구 소월로 322,서울 용산구 한남동 747-7,126.9970808,37.5394448,,,POI01000TR007380V,그랜드하얏트서울,240.0,24,Y,1.0,1.0,5.0,5.0,5.0,
4163,2306030003,e_e001329,6,그랜드 하얏트 서울,2023-06-03,2023-06-04,서울 용산구 소월로 322,서울 용산구 한남동 747-7,126.9970808,37.5394448,,,POI01000TR007380V,그랜드하얏트서울,480.0,24,Y,1.0,1.0,5.0,5.0,5.0,
4302,2305280007,e_e001409,5,클럽 레스피아 남양주 2호점,2023-05-28,2023-05-29,경기 남양주시 수동면 비룡로 1738-23,,,,,,,,450.0,24,N,8.0,5.0,3.0,2.0,3.0,4136034000.0
4313,2305280003,e_e001412,3,안다즈 서울 강남,2023-05-28,2023-05-28,서울 강남구 논현로 854,서울 강남구 신사동 603,127.0288703,37.5254181,,,POI01000TR013263V,안다즈 서울강남,150.0,24,N,2.0,1.0,5.0,4.0,4.0,
4315,2305280009,e_e001412,5,안다즈 서울 강남,2023-05-28,2023-05-29,서울 강남구 논현로 854,서울 강남구 신사동 603,127.0288703,37.5254181,,,POI01000TR013263V,안다즈 서울강남,210.0,24,N,2.0,1.0,5.0,4.0,5.0,
4400,2306030007,e_e001428,7,아이다 호텔,2023-06-03,2023-06-04,서울 송파구 올림픽로34길 3-6,서울 송파구 방이동 41-13,127.1109379,37.5163235,,,POI010000006KZC63,아이다호텔,90.0,24,N,8.0,2.0,3.0,2.0,2.0,
4442,2305280005,e_e001436,5,로뎀하우스,2023-05-28,2023-05-29,다문리 458-2 로뎀하우스,,,,,,,,450.0,24,N,11.0,10.0,5.0,5.0,5.0,4183040000.0
4501,2306010009,e_e001467,9,J 호텔,2023-06-01,2023-06-02,경기 수원시 팔달구 팔달로 8,경기 수원시 팔달구 매산로1가 111-4,126.9998331,37.2698378,,,POI010000006IOYV1,J호텔,210.0,24,N,8.0,2.0,3.0,3.0,4.0,
4516,2306020013,e_e001470,5,호텔 캠퍼스,2023-06-02,2023-06-03,서울 강남구 테헤란로2길 13,서울 강남구 역삼동 825-30,127.0292123,37.4972995,,,POI01000000BK3SH3,강남캠퍼스호텔입구,30.0,24,N,6.0,2.0,4.0,3.0,3.0,
4541,2305270006,e_e001482,6,노보텔앰배서더,2023-05-27,2023-05-27,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,126.9628456,37.5318435,,,POI01000TR030167V,노보텔 스위트 앰배서더 서울 용산,180.0,24,N,1.0,1.0,5.0,4.0,5.0,
4544,2305270009,e_e001482,9,노보텔앰배서더,2023-05-27,2023-05-28,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,126.9628456,37.5318435,,,POI01000TR030167V,노보텔 스위트 앰배서더 서울 용산,240.0,24,N,1.0,1.0,5.0,4.0,5.0,
4563,2305280002,e_e001499,4,안다즈 서울 강남,2023-05-28,2023-05-29,서울 강남구 논현로 854,서울 강남구 신사동 603,127.0288703,37.5254181,,,POI01000TR013263V,안다즈 서울강남,30.0,24,N,2.0,1.0,5.0,5.0,5.0,
4572,2306030003,e_e001503,3,용문산 허브 찜질방,2023-06-03,2023-06-04,,경기 양평군 용문면 연수리 255,127.5520866,37.5287155,,,POI01000000B4VEBV,용문산허브찜질방,300.0,24,N,8.0,11.0,5.0,5.0,5.0,
4584,2306030002,e_e001519,2,레피다 호텔,2023-06-03,2023-06-03,인천 중구 연안부두로21번길 11-9,인천 중구 항동7가 27-204,126.6045868,37.4559231,,,POI02001TR008995V,레피다호텔,30.0,24,N,8.0,2.0,5.0,5.0,5.0,
4586,2306030004,e_e001519,4,레피다 호텔,2023-06-03,2023-06-04,인천 중구 연안부두로21번길 11-9,인천 중구 항동7가 27-204,126.6045868,37.4559231,,,POI02001TR008995V,레피다호텔,180.0,24,N,8.0,2.0,5.0,5.0,5.0,
4625,2306050007,e_e001526,7,토요코인 호텔 서울 강남점,2023-06-05,2023-06-06,서울 서초구 강남대로 323,서울 서초구 서초동 1337-27,127.0299655,37.491877,,,POI01000000DITG77,토요코인서울강남,210.0,24,N,8.0,1.0,3.0,3.0,4.0,
4659,2306030003,e_e001538,3,청담채,2023-06-03,2023-06-03,용문로 335번길 5,,,,,,,,30.0,24,N,2.0,3.0,5.0,5.0,5.0,4183040000.0
4662,2306030006,e_e001538,6,청담채,2023-06-03,2023-06-04,용문로334번길 5,,,,,,,,480.0,24,Y,11.0,3.0,5.0,5.0,5.0,4183040000.0
4668,2306030003,e_e001542,3,쉐라톤 그랜드 인천 호텔,2023-06-03,2023-06-03,인천 연수구 컨벤시아대로 153,인천 연수구 송도동 6-9,126.6452838,37.3903549,,,POI01000TR014442V,쉐라톤그랜드 인천호텔,90.0,24,Y,4.0,1.0,5.0,5.0,5.0,
4671,2306030006,e_e001542,6,쉐라톤 그랜드 인천 호텔,2023-06-03,2023-06-04,인천 연수구 컨벤시아대로 153,인천 연수구 송도동 6-9,126.6452838,37.3903549,,,POI01000TR014442V,쉐라톤그랜드 인천호텔,300.0,24,Y,4.0,1.0,5.0,5.0,5.0,
4696,2305310010,e_e001548,11,더 큐브 호텔,2023-05-31,2023-06-01,서울 중구 퇴계로20길 31,서울 중구 남산동2가 18-9,126.9862058,37.5588191,,,POI01000000D8XXP0,더큐브호텔,150.0,24,N,8.0,7.0,3.0,3.0,3.0,
4698,2306010001,e_e001548,18,스포렉스 사우나,2023-06-01,2023-06-02,서울 중구 장충단로 247,서울 중구 을지로6가 18-21,127.0073008,37.5665015,,,POI02001TR018373V,스파렉스사우나,270.0,24,Y,4.0,11.0,1.0,1.0,2.0,
4730,2306040010,e_e001554,14,수기 해변,2023-06-04,2023-06-05,,인천 옹진군 북도면 시도리,126.4318545,37.5446481,,,POI01000TR032740V,수기해변,240.0,24,N,2.0,5.0,4.0,4.0,4.0,
4737,2306050007,e_e001554,21,무의도 세렝게티,2023-06-05,2023-06-06,,인천 중구 무의동 산 349-2,126.4164967,37.3657678,,,POI02001TR010980V,무의도세렝게티,480.0,24,N,2.0,5.0,5.0,5.0,5.0,
4796,2306040003,e_e001571,7,오블라디풀빌라,2023-06-04,2023-06-05,경기 파주시 문산읍 문현말길 113-2,경기 파주시 문산읍 내포리 391-1,126.7708021,37.8469413,,,POI01000TR026118V,오블라디풀빌라,510.0,24,Y,7.0,3.0,5.0,5.0,5.0,
4873,2306040002,e_e001911,2,국립 아세안자연휴양림,2023-06-04,2023-06-04,경기 양주시 백석읍 기산로 472,경기 양주시 백석읍 기산리 산 103-1,126.9421849,37.7737671,,,POI01000TR018301V,국립아세안자연휴양림,240.0,24,N,1.0,9.0,5.0,5.0,5.0,
4876,2306040005,e_e001911,5,국립 아세안자연휴양림,2023-06-04,2023-06-05,경기 양주시 백석읍 기산로 472,경기 양주시 백석읍 기산리 산 103-1,126.9421849,37.7737671,,,POI01000TR018301V,국립아세안자연휴양림,30.0,24,N,1.0,9.0,5.0,5.0,5.0,
4891,2306090002,e_e001914,8,호텔 페이트 강남,2023-06-09,2023-06-10,서울 서초구 강남대로 259,서울 서초구 서초동 1361-10,127.0326951,37.4864504,,,POI01000000D9F2VU,(주)호텔페이토,180.0,24,N,6.0,1.0,5.0,5.0,5.0,
4902,2306100005,e_e001914,13,호텔 페이트 강남,2023-06-10,2023-06-11,서울 서초구 강남대로 259,서울 서초구 서초동 1361-10,127.0326951,37.4864504,,,POI01000000D9F2VU,(주)호텔페이토,300.0,24,Y,4.0,1.0,5.0,5.0,5.0,
4908,2306030006,e_e001916,6,서울 올림픽파크텔,2023-06-03,2023-06-03,서울 송파구 올림픽로 448,서울 송파구 방이동 88,127.1165487,37.5223331,,,POI010000009CDW4U,서울올림픽파크텔,30.0,24,N,5.0,1.0,4.0,4.0,4.0,
4910,2306030009,e_e001916,8,서울 올림픽파크텔,2023-06-03,2023-06-04,서울 송파구 올림픽로 448,서울 송파구 방이동 88,127.1165487,37.5223331,,,POI010000009CDW4U,서울올림픽파크텔,60.0,24,N,5.0,1.0,5.0,5.0,5.0,
4911,2306040001,e_e001916,9,서울 올림픽파크텔,2023-06-04,2023-06-04,서울 송파구 올림픽로 448,서울 송파구 방이동 88,127.1165487,37.5223331,,,POI010000009CDW4U,서울올림픽파크텔,90.0,24,N,5.0,1.0,4.0,5.0,5.0,
4932,2306080007,e_e001926,7,밀리오레 호텔 명동,2023-06-08,2023-06-08,서울 중구 퇴계로 115,서울 중구 충무로1가 24-1,126.9842111,37.5610497,,,POI01000TR033588V,밀리오레호텔 명동,900.0,24,N,8.0,1.0,3.0,3.0,2.0,
4934,2306080009,e_e001926,9,밀리오레 호텔 명동,2023-06-08,2023-06-09,서울 중구 퇴계로 115,서울 중구 충무로1가 24-1,126.9842111,37.5610497,,,POI01000TR033588V,밀리오레호텔 명동,120.0,24,N,8.0,1.0,3.0,3.0,3.0,
4943,2306100002,e_e001935,4,호텔야자,2023-06-10,2023-06-11,경기 오산시 역광장로 73,경기 오산시 오산동 603-10,127.0676814,37.1472386,,,POI02001TR033717V,호텔야자 오산역점,60.0,24,N,2.0,2.0,3.0,2.0,2.0,
4944,2306100003,e_e001935,2,호텔야자,2023-06-10,2023-06-10,경기 오산시 역광장로 73,경기 오산시 오산동 603-10,127.0676814,37.1472386,,,POI02001TR033717V,호텔야자 오산역점,30.0,24,N,2.0,2.0,3.0,2.0,2.0,
4973,2306040009,e_e001940,7,M 호텔,2023-06-04,2023-06-05,경기 의정부시 시민로122번길 59-10,경기 의정부시 의정부동 136-35,127.0491294,37.7356151,,,POI010000006LSRIO,M호텔,1440.0,24,N,8.0,2.0,4.0,3.0,3.0,
4996,2306030004,e_e001950,4,심포니 호텔,2023-06-03,2023-06-03,경기 수원시 영통구 반달로128번길 13,경기 수원시 영통구 영통동 996-5,127.0754424,37.2546042,,,POI0100000092GTDT,심포니관광호텔,60.0,24,N,8.0,1.0,4.0,4.0,4.0,
4998,2306030006,e_e001950,6,심포니 호텔,2023-06-03,2023-06-04,경기 수원시 영통구 반달로128번길 13,경기 수원시 영통구 영통동 996-5,127.0754424,37.2546042,,,POI0100000092GTDT,심포니관광호텔,30.0,24,N,8.0,1.0,4.0,4.0,4.0,
5013,2306060006,e_e001968,6,탑 모텔,2023-06-06,2023-06-06,인천 강화군 송해면 강화대로 792,인천 강화군 송해면 솔정리 576-1,126.4555786,37.765216,,,POI02001TR029816V,탑모텔,60.0,24,N,8.0,2.0,5.0,5.0,5.0,
5017,2306060010,e_e001968,10,탑 모텔,2023-06-06,2023-06-07,인천 강화군 송해면 강화대로 792,인천 강화군 송해면 솔정리 576-1,126.4555786,37.765216,,,POI02001TR029816V,탑모텔,180.0,24,N,8.0,2.0,5.0,5.0,5.0,
5044,2306060002,e_e001987,5,싱싱 하우스 협동조합,2023-06-06,2023-06-07,경기 화성시 우정읍 거물동길 14-4,경기 화성시 우정읍 원안리 492,126.7756535,37.10452,,,POI01000000E6W7K3,싱싱하우스협동조합,480.0,24,N,2.0,3.0,5.0,5.0,5.0,
5052,2306050003,e_e001989,3,헤르츠 모텔,2023-06-05,2023-06-06,서울 관악구 남부순환로 1593-11,서울 관악구 신림동 1433-97,126.9272893,37.4845486,,,POI02001TR033143V,헤르츠모텔,30.0,24,N,2.0,2.0,5.0,5.0,5.0,
5077,2306050004,e_e001996,4,립 모텔,2023-06-05,2023-06-06,경기 파주시 금정20길 15-12,경기 파주시 금촌동 65-17,126.7745117,37.7621656,,,POI02001TR009636V,립모텔,120.0,24,N,8.0,2.0,3.0,3.0,3.0,
5206,2306050005,e_e002045,5,브라운 도트 호텔 월곶점,2023-06-05,2023-06-06,경기 시흥시 월곶중앙로70번안길 30,경기 시흥시 월곶동 1007-5,126.7404001,37.389646,,,POI02001TR013550V,브라운도트호텔 월곶점,120.0,24,N,1.0,2.0,3.0,3.0,4.0,
5216,2306040007,e_e002049,7,인트로 호텔,2023-06-04,2023-06-05,서울 강남구 테헤란로37길 13-11,서울 강남구 역삼동 677-14,127.0399266,37.502742,,,POI01000000D23L0Z,역삼맨하탄호텔,240.0,24,N,8.0,2.0,5.0,3.0,5.0,
5246,2306020002,e_e002058,2,곤지암리조트 L 빌리지,2023-06-02,2023-06-03,경기 광주시 도척면 도척윗로 278,경기 광주시 도척면 도웅리 533,127.2964629,37.3374982,,,POI01000000AM90XY,CGV DRIVE IN 곤지암,420.0,24,N,1.0,4.0,5.0,5.0,5.0,
5256,2306030006,e_e002059,5,성산 청소년 수련원,2023-06-03,2023-06-04,인천 강화군 선원면 충렬사로178번길 116,인천 강화군 선원면 선행리 77,126.4607244,37.7325214,,,POI02001TR015839V,성산청소년수련원,600.0,24,N,5.0,11.0,4.0,3.0,4.0,
5263,2306020004,e_e002064,3,호텔 데저트,2023-06-02,2023-06-02,서울 영등포구 영중로4길 9-6,서울 영등포구 영등포동3가 21-9,126.9075567,37.5178377,,,POI01000000B1IY7V,데쟈트호텔,240.0,24,Y,4.0,1.0,4.0,4.0,5.0,
5331,2306030002,e_e002082,11,포 포인츠 바이 쉐라톤 수원 호텔,2023-06-03,2023-06-04,경기 수원시 팔달구 효원로307번길 27,경기 수원시 팔달구 인계동 1122-8,127.0355898,37.2622132,,,POI01000000ALX3LC,FPBS수원호텔,150.0,24,N,2.0,1.0,5.0,5.0,5.0,
5335,2306030006,e_e002082,5,포 포인츠 바이 쉐라톤 수원 호텔,2023-06-03,2023-06-03,경기 수원시 팔달구 효원로307번길 27,경기 수원시 팔달구 인계동 1122-8,127.0355898,37.2622132,,,POI01000000ALX3LC,FPBS수원호텔,120.0,24,N,2.0,1.0,5.0,5.0,5.0,
5344,2306040004,e_e002082,14,포 포인츠 바이 쉐라톤 수원 호텔,2023-06-04,2023-06-04,경기 수원시 팔달구 효원로307번길 27,경기 수원시 팔달구 인계동 1122-8,127.0355898,37.2622132,,,POI01000000ALX3LC,FPBS수원호텔,120.0,24,N,2.0,1.0,5.0,5.0,5.0,
5376,2306030002,e_e002097,7,고색 루치아노 오피스텔,2023-06-03,2023-06-04,,,,,,,,,30.0,24,N,8.0,11.0,5.0,5.0,4.0,4111312800.0
5388,2306090004,e_e002099,3,호텔 캠퍼스,2023-06-09,2023-06-09,서울 강남구 테헤란로2길 13,서울 강남구 역삼동 825-30,127.0292123,37.4972995,,,POI01000000BK3SH3,강남캠퍼스호텔입구,240.0,24,N,6.0,1.0,4.0,4.0,4.0,
5424,2306030009,e_e002126,9,에스라인 모텔,2023-06-03,2023-06-03,서울 강동구 양재대로109길 7,,,,,,,,750.0,24,N,8.0,2.0,4.0,3.0,3.0,1174010500.0
5425,2306030010,e_e002126,10,에스라인 모텔,2023-06-03,2023-06-04,서울 강동구 양재대로109길 7,서울 강동구 길동 413-44,127.1387234,37.5359467,,,POI010000006KTCA1,에스라인모텔,60.0,24,N,8.0,2.0,3.0,3.0,3.0,
5510,2306030006,e_e002148,6,썬스타호텔,2023-06-03,2023-06-04,경기 수원시 팔달구 정조로905번길 7-12,경기 수원시 팔달구 장안동 22-8,127.0138934,37.2876163,,,POI01000TR019156V,썬스타,180.0,24,N,6.0,1.0,5.0,5.0,5.0,
5579,2306040009,e_e002161,8,투데이 호텔,2023-06-04,2023-06-05,경기 화성시 동탄중심상가1길 30,경기 화성시 반송동 103-8,127.0722806,37.2014867,,,POI01000000ER1ZYZ,동탄투데이호텔,240.0,24,N,2.0,1.0,4.0,3.0,3.0,
5581,2306050002,e_e002161,10,투데이 호텔,2023-06-05,2023-06-06,경기 화성시 동탄중심상가1길 30,경기 화성시 반송동 103-8,127.0722806,37.2014867,,,POI01000000ER1ZYZ,동탄투데이호텔,690.0,24,N,2.0,1.0,4.0,3.0,3.0,
5658,2306030006,e_e002183,6,넘버 25 사당역점,2023-06-03,2023-06-03,서울 관악구 승방2길 13,서울 관악구 남현동 602-16,126.9809803,37.4744123,,,POI01000000CZ12BL,넘버25,240.0,24,N,6.0,2.0,3.0,3.0,3.0,
5667,2306050007,e_e002184,6,캠프무인텔,2023-06-05,2023-06-06,장평리 221-10,,,,,,,,240.0,24,N,2.0,2.0,5.0,5.0,5.0,4150035000.0
5673,2306030002,e_e002186,2,파티와 호텔,2023-06-03,2023-06-03,인천 미추홀구 주안중로 38,인천 미추홀구 주안동 93-3,126.6829506,37.4616519,,,POI010000006EANXA,파티오호텔,60.0,24,N,11.0,2.0,3.0,3.0,3.0,
5676,2306030005,e_e002186,5,파티와 호텔,2023-06-03,2023-06-04,인천 미추홀구 주안중로 38,인천 미추홀구 주안동 93-3,126.6829506,37.4616519,,,POI010000006EANXA,파티오호텔,60.0,24,N,11.0,2.0,3.0,3.0,3.0,
5712,2306020003,e_e002202,3,라 까사호텔 광명,2023-06-02,2023-06-02,경기 광명시 일직로12번길 22,경기 광명시 일직동 508-3,126.8819768,37.4212348,,,POI01000000B6CU9S,라까사호텔 광명,30.0,24,N,7.0,1.0,4.0,3.0,3.0,
5714,2306020007,e_e002202,5,라 까사호텔 광명,2023-06-02,2023-06-03,경기 광명시 일직로12번길 22,경기 광명시 일직동 508-3,126.8819768,37.4212348,,,POI01000000B6CU9S,라까사호텔 광명,270.0,24,Y,4.0,1.0,5.0,5.0,5.0,
5724,2306030006,e_e002204,6,호운 스테이,2023-06-03,2023-06-04,경강로 4809-7,,,,,,,,390.0,24,N,1.0,3.0,5.0,5.0,5.0,4183037000.0
